method,cvar_d1_mean,cvar_d1_std,mv_d1_mean,mv_d1_std,cvar_risk_std,mv_risk_std
historical,0.10870016368485635,0.021432326386699837,0.0933738329074449,0.043975568413528954,0.0008116991764755394,0.0008542969653325065
mbb,0.1377703169813595,0.04756435035982213,0.11429771180127764,0.06003275304736998,0.0017909836249453027,0.0018171982596262447
