method,seed,n_scenarios,block_len,frob_norm,wdist_mean
historical,473188,2000,,0.2544212561703713,0.0007869564832709828
historical,511821,2000,,0.2877392321774614,0.0009343229711344591
historical,755167,2000,,0.21995429652781573,0.0009264112781104541
historical,950463,2000,,0.2635466826079192,0.0006362436745246112
historical,34852,2000,,0.2471034797536594,0.0006892189538646033
historical,144159,2000,,0.22197604679180866,0.0007211237928293362
historical,822943,2000,,0.21584885168641305,0.000695523549480367
historical,948649,2000,,0.16162133859491326,0.0008837634416687345
historical,249228,2000,,0.1718390670421954,0.0006736333725661951
historical,311831,2000,,0.2208702657954295,0.0007402304082979445
