method,seed,n_scenarios,block_len,frob_norm,wdist_mean
mbb,473188,2000,5,0.030168054193113754,0.0008282421318456452
mbb,511821,2000,5,0.06615871386913243,0.000988181046604302
mbb,755167,2000,5,0.08997975532498764,0.001253478991772595
mbb,950463,2000,5,0.13344444959142318,0.0013525406588209576
mbb,34852,2000,5,0.07214318035402305,0.0012508894543080715
mbb,144159,2000,5,0.02670783491282902,0.0006862435565839636
mbb,822943,2000,5,0.03647205489765944,0.0015058150026035998
mbb,948649,2000,5,0.05181268657543468,0.0008945451503133124
mbb,249228,2000,5,0.1031080268407178,0.0014344650345931077
mbb,311831,2000,5,0.028559597692041222,0.0007608261903004016
